SIREN principal,Id,Raison sociale,Date de publication,Année de reporting,Siret
263305823,938a00b4-b1cd-11ed-8fce-005056b7acd1,CENTRE HOSPITALIER UNIVERSITAIRE DE BORDEAUX,04/12/2017,2016,
263305823,937f991f-b1cd-11ed-8fce-005056b7acd1,CENTRE HOSPITALIER UNIVERSITAIRE DE BORDEAUX,19/12/2016,2015,
200029320,93bdd6ec-b1cd-11ed-8fce-005056b7acd1,CENTRE HOSPITALIER  DU PAYS D AIX - CENTRE HOSPITALIER INTERCOMMUNAL AIX-PERTUIS,28/04/2022,2021,
200029320,93b4b6eb-b1cd-11ed-8fce-005056b7acd1,CENTRE HOSPITALIER  DU PAYS D AIX - CENTRE HOSPITALIER INTERCOMMUNAL AIX-PERTUIS,19/05/2021,2020,
200029320,93a39eaa-b1cd-11ed-8fce-005056b7acd1,CENTRE HOSPITALIER  DU PAYS D AIX - CENTRE HOSPITALIER INTERCOMMUNAL AIX-PERTUIS,24/06/2020,2019,
200029320,9392d19f-b1cd-11ed-8fce-005056b7acd1,CENTRE HOSPITALIER  DU PAYS D AIX - CENTRE HOSPITALIER INTERCOMMUNAL AIX-PERTUIS,17/06/2019,2018,
200029320,938cb7bb-b1cd-11ed-8fce-005056b7acd1,CENTRE HOSPITALIER  DU PAYS D AIX - CENTRE HOSPITALIER INTERCOMMUNAL AIX-PERTUIS,04/07/2018,2017,
200029320,9380e2ed-b1cd-11ed-8fce-005056b7acd1,CENTRE HOSPITALIER  DU PAYS D AIX - CENTRE HOSPITALIER INTERCOMMUNAL AIX-PERTUIS,18/01/2017,2016,
200029320,27ad5fca-5903-4ba5-a2a3-9cd5dc688062,Centre Hospitalier du Pays d'Aix,22/03/2023,2022,
775700198,93b75cad-b1cd-11ed-8fce-005056b7acd1,GRAND PORT MARITIME DU HAVRE,16/08/2021,2020,
775700198,93a71966-b1cd-11ed-8fce-005056b7acd1,GRAND PORT MARITIME DU HAVRE,09/10/2020,2019,
775700198,939406e1-b1cd-11ed-8fce-005056b7acd1,GRAND PORT MARITIME DU HAVRE,20/08/2019,2018,
775700198,938d054d-b1cd-11ed-8fce-005056b7acd1,GRAND PORT MARITIME DU HAVRE,30/08/2018,2017,
775700198,9386dd6c-b1cd-11ed-8fce-005056b7acd1,GRAND PORT MARITIME DU HAVRE,12/09/2017,2016,
775700198,9382da44-b1cd-11ed-8fce-005056b7acd1,GRAND PORT MARITIME DU HAVRE,22/03/2017,2015,
775670284,93b970a0-b1cd-11ed-8fce-005056b7acd1,HSBC CONTINENTAL EUROPE,02/12/2021,2020,
775670284,93b16ce9-b1cd-11ed-8fce-005056b7acd1,HSBC CONTINENTAL EUROPE,16/12/2020,2019,
775670284,939a6251-b1cd-11ed-8fce-005056b7acd1,HSBC CONTINENTAL EUROPE,16/12/2019,2018,
775670284,938e6f9f-b1cd-11ed-8fce-005056b7acd1,HSBC CONTINENTAL EUROPE,20/12/2018,2017,
775670284,938a111f-b1cd-11ed-8fce-005056b7acd1,HSBC CONTINENTAL EUROPE,19/12/2017,2016,
775670284,937ea2b2-b1cd-11ed-8fce-005056b7acd1,HSBC CONTINENTAL EUROPE,16/12/2016,2015,
673620399,93b89fd5-b1cd-11ed-8fce-005056b7acd1,BIOMERIEUX SA,25/10/2021,2020,
673620399,937a9524-b1cd-11ed-8fce-005056b7acd1,BIOMERIEUX SA,08/09/2017,2015,
673620399,93764a00-b1cd-11ed-8fce-005056b7acd1,BIOMERIEUX SA,05/08/2016,2011,
673620399,937648ef-b1cd-11ed-8fce-005056b7acd1,BIOMERIEUX SA,05/08/2016,2012,
673620399,937647df-b1cd-11ed-8fce-005056b7acd1,BIOMERIEUX SA,05/08/2016,2013,
673620399,937646cb-b1cd-11ed-8fce-005056b7acd1,BIOMERIEUX SA,05/08/2016,2014,
225800010,93c4147b-b1cd-11ed-8fce-005056b7acd1,DEPARTEMENT DE LA NIEVRE,07/12/2022,2021,
225800010,93bec431-b1cd-11ed-8fce-005056b7acd1,DEPARTEMENT DE LA NIEVRE,06/12/2022,2020,
225800010,93afe284-b1cd-11ed-8fce-005056b7acd1,DEPARTEMENT DE LA NIEVRE,17/11/2020,2019,
225800010,93afe0bf-b1cd-11ed-8fce-005056b7acd1,DEPARTEMENT DE LA NIEVRE,17/11/2020,2018,
225800010,938fd5c9-b1cd-11ed-8fce-005056b7acd1,DEPARTEMENT DE LA NIEVRE,20/03/2019,2017,
225800010,938fd4aa-b1cd-11ed-8fce-005056b7acd1,DEPARTEMENT DE LA NIEVRE,20/03/2019,2016,
954509741,b3cd599c-86ef-4fc3-9e54-d40afcd5e5b0,CREDIT LYONNAIS,03/05/2023,2022,
954509741,93c04cca-b1cd-11ed-8fce-005056b7acd1,CREDIT LYONNAIS,28/07/2022,2021,
954509741,93bf2c23-b1cd-11ed-8fce-005056b7acd1,CREDIT LYONNAIS,22/06/2022,2020,
954509741,93b8ee79-b1cd-11ed-8fce-005056b7acd1,CREDIT LYONNAIS,28/10/2021,2019,
954509741,93b8ebd9-b1cd-11ed-8fce-005056b7acd1,CREDIT LYONNAIS,27/10/2021,2018,
775618622,93bcd388-b1cd-11ed-8fce-005056b7acd1,CAISSE D,19/12/2022,2021,
775618622,938cc77f-b1cd-11ed-8fce-005056b7acd1,CAISSE D,20/07/2018,2017,
775618622,9386aa8b-b1cd-11ed-8fce-005056b7acd1,CAISSE D,17/08/2017,2016,
775618622,937e2b13-b1cd-11ed-8fce-005056b7acd1,CAISSE D,14/11/2016,2015,
775618622,93714e03-b1cd-11ed-8fce-005056b7acd1,CAISSE D,23/12/2015,2014,
552016628,93c0742c-b1cd-11ed-8fce-005056b7acd1,AEROPORTS DE PARIS,05/09/2022,2021,
552016628,9393d2e9-b1cd-11ed-8fce-005056b7acd1,AEROPORTS DE PARIS,22/07/2019,2018,
552016628,938fc8b4-b1cd-11ed-8fce-005056b7acd1,AEROPORTS DE PARIS,14/03/2019,2017,
552016628,9385e517-b1cd-11ed-8fce-005056b7acd1,AEROPORTS DE PARIS,07/12/2017,2016,"55201662800273
"
552016628,937fb76d-b1cd-11ed-8fce-005056b7acd1,AEROPORTS DE PARIS,21/12/2016,2015,
378778542,fb010388-c76b-4228-a08c-bbab0d0cddc5,NEOPOST FRANCE,26/06/2023,2022,
378778542,93bbbcad-b1cd-11ed-8fce-005056b7acd1,NEOPOST FRANCE,24/05/2022,2021,
378778542,93a2e4ba-b1cd-11ed-8fce-005056b7acd1,NEOPOST FRANCE,02/09/2020,2019,
378778542,938e70e9-b1cd-11ed-8fce-005056b7acd1,NEOPOST FRANCE,21/12/2018,2018,
378778542,938a24dc-b1cd-11ed-8fce-005056b7acd1,NEOPOST FRANCE,18/12/2017,2017,
378072144,93b783f7-b1cd-11ed-8fce-005056b7acd1,OFFICE PUBLIC DE L'HABITAT DU NORD,01/09/2021,2020,
378072144,93979103-b1cd-11ed-8fce-005056b7acd1,OFFICE PUBLIC DE L'HABITAT DU NORD,22/11/2019,2018,"378072144
"
378072144,938e14c8-b1cd-11ed-8fce-005056b7acd1,OFFICE PUBLIC DE L'HABITAT DU NORD,25/10/2018,2017,"378072144
"
378072144,937f6f32-b1cd-11ed-8fce-005056b7acd1,OFFICE PUBLIC DE L'HABITAT DU NORD,15/12/2016,2015,
378072144,9379550e-b1cd-11ed-8fce-005056b7acd1,OFFICE PUBLIC DE L'HABITAT DU NORD,25/08/2016,2014,
225900018,93a5dad2-b1cd-11ed-8fce-005056b7acd1,DEPARTEMENT DU NORD,20/08/2020,2019,
225900018,939f3230-b1cd-11ed-8fce-005056b7acd1,DEPARTEMENT DU NORD,10/01/2020,2018,
225900018,937fc5f1-b1cd-11ed-8fce-005056b7acd1,DEPARTEMENT DU NORD,22/12/2016,2014,
225900018,9370d97b-b1cd-11ed-8fce-005056b7acd1,DEPARTEMENT DU NORD,22/04/2015,2011,"22590001800014
"
225900018,931df31f-1ee8-4d35-b277-3607b95b63ed,DEPARTEMENT DU NORD,17/07/2023,2021,250 propriétés départementales (bâtiment) 
217500016,93c421d0-b1cd-11ed-8fce-005056b7acd1,Paris,08/12/2022,2020,
217500016,93c420b6-b1cd-11ed-8fce-005056b7acd1,Paris,08/12/2022,2019,
217500016,93a04644-b1cd-11ed-8fce-005056b7acd1,Paris,31/01/2020,2018,
217500016,938a1d53-b1cd-11ed-8fce-005056b7acd1,Paris,19/12/2017,2016,
217500016,937cfc9d-b1cd-11ed-8fce-005056b7acd1,Paris,29/09/2016,2014,
857200521,93b95178-b1cd-11ed-8fce-005056b7acd1,CENTRE SPECIALITES PHARMACEUTIQUES,24/11/2021,2020,
857200521,9398da8f-b1cd-11ed-8fce-005056b7acd1,CENTRE SPECIALITES PHARMACEUTIQUES,10/12/2019,2018,
857200521,938b5e9b-b1cd-11ed-8fce-005056b7acd1,CENTRE SPECIALITES PHARMACEUTIQUES,04/05/2018,2017,"SIRET&nbsp;: 857&nbsp;200&nbsp;521 00022&nbsp; site de Cournon d&rsquo;Auvergne (63808), 76-78 avenue du Midi (si&egrave;ge social)

SIRET : 857&nbsp;200&nbsp;521 00238&nbsp; site de Cournon d&rsquo;Auvergne (63808), 9 rue des Acilloux

SIRET&nbsp;: 857&nbsp;200&nbsp;521 00089 site de Moussy-le-Neuf (77230), 3 avenue des 22 arpents Quartier d&rsquo;activit&eacute;s de la Barogne
"
857200521,937abd23-b1cd-11ed-8fce-005056b7acd1,CENTRE SPECIALITES PHARMACEUTIQUES,30/08/2016,2015,"SIRET&nbsp;: 857&nbsp;200&nbsp;521 00022&nbsp; site de Cournon d&rsquo;Auvergne (63808), 76-78 avenue du Midi

SIRET&nbsp;: 857&nbsp;200&nbsp;521 00089 site de Moussy-le-Neuf (77230), 3 avenue des 22 arpents Quartier d&rsquo;activit&eacute;s de la Barogne
"
783595036,93bc07cc-b1cd-11ed-8fce-005056b7acd1,GRAND PORT MARITIME DE DUNKERQUE,26/01/2022,2020,
783595036,93b54ed3-b1cd-11ed-8fce-005056b7acd1,GRAND PORT MARITIME DE DUNKERQUE,18/06/2021,2011,
783595036,93b54d88-b1cd-11ed-8fce-005056b7acd1,GRAND PORT MARITIME DE DUNKERQUE,18/06/2021,2017,
783595036,937e92d0-b1cd-11ed-8fce-005056b7acd1,GRAND PORT MARITIME DE DUNKERQUE,12/12/2016,2014,
781446521,939cf60a-b1cd-11ed-8fce-005056b7acd1,POUJOULAT,23/12/2019,2019,
781446521,938f5396-b1cd-11ed-8fce-005056b7acd1,POUJOULAT,22/03/2019,2018,
781446521,937feb29-b1cd-11ed-8fce-005056b7acd1,POUJOULAT,29/12/2016,2016,
781446521,937aba17-b1cd-11ed-8fce-005056b7acd1,POUJOULAT,30/08/2016,2010,
775709702,93a630d5-b1cd-11ed-8fce-005056b7acd1,MUTUELLE ASSURANCE INSTITUTEUR FRANCE,15/10/2020,2019,"N&deg; SIRET MAIF : 775 709 702 0 1646
"
775709702,93894d21-b1cd-11ed-8fce-005056b7acd1,MUTUELLE ASSURANCE INSTITUTEUR FRANCE,21/12/2017,2016,"N&deg; SIRET MAIF : 775 709 702
"
775709702,93714f2d-b1cd-11ed-8fce-005056b7acd1,MUTUELLE ASSURANCE INSTITUTEUR FRANCE,28/01/2016,2014,
775709702,93708e2c-b1cd-11ed-8fce-005056b7acd1,MUTUELLE ASSURANCE INSTITUTEUR FRANCE,04/03/2015,2011,
775685019,93c50df5-b1cd-11ed-8fce-005056b7acd1,COMMISSARIAT A L' ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,21/12/2022,2021,
775685019,93bca1ab-b1cd-11ed-8fce-005056b7acd1,COMMISSARIAT A L' ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,23/02/2022,2020,
775685019,93a2f119-b1cd-11ed-8fce-005056b7acd1,COMMISSARIAT A L' ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,16/12/2020,2019,"Le p&eacute;rim&egrave;tre organisationnel inclut les activit&eacute;s men&eacute;es sur l&#39;ensemble des centres du CEA (10&nbsp;centres list&eacute;s ci-apr&egrave;s) ainsi que les activit&eacute;s du Si&egrave;ge social bas&eacute; &agrave; Paris (B&acirc;timent Le ponant D - 25 rue Leblanc - 75015)

Codes SIRET associ&eacute;s et adresses :

775685019 00405 &nbsp;Centre CEA de Cadarache &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;13108 Saint-Paul-les-Durance cedex

775685019 00322&nbsp; Centre CEA du CESTA &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;BP 2 - 33114 Le Barp

775685019 00082&nbsp; Centre CEA DIF &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;Bruy&egrave;res_le-Ch&acirc;tel - 91297 Arpajon cedex

775685019 00066&nbsp; Centre CEA de FAR &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;BP 6 - 92268 Fontenay-aux-Roses cedex

775685019 00603&nbsp; Centre CEA de Gramat &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; BP&nbsp;80200 - 46500 Gramat

775685019 00298&nbsp; Centre CEA de Grenoble &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; 17, rue des Martyrs - 38054 Grenoble cedex 9

775685019 00330&nbsp; Centre CEA de Marcoule &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; BP&nbsp;171 - 30207 Bagnols-sur-C&egrave;ze cedex

775685019 00314&nbsp; Centre CEA du&nbsp;Ripault &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;BP 16 - 37260 Monts

775685019 00488&nbsp; Centre CEA de Saclay &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;91191 Gif-sur-Yvette cedex

775685019 00371&nbsp; Centre CEA de Valduc &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;21120 Is-sur-Tille

Il est &agrave; noter que depuis le 1er&nbsp;janvier 2017, les centres de FAR et Saclay ont &eacute;t&eacute; r&eacute;unis en une seule entit&eacute; d&eacute;nomm&eacute;e : Centre CEA de Paris-Saclay.
"
775685019,9384d3ea-b1cd-11ed-8fce-005056b7acd1,COMMISSARIAT A L' ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,10/07/2017,2016,"Le p&eacute;rim&egrave;tre organisationnel inclut les activit&eacute;s men&eacute;es sur l&#39;ensemble des centres du CEA (10&nbsp;centres list&eacute;s ci-apr&egrave;s) ainsi que les activit&eacute;s du Si&egrave;ge social bas&eacute; &agrave; Paris (B&acirc;timent Le ponant D - 25 rue Leblanc - 75015)

Codes SIRET associ&eacute;s et adresses :

775685019 00405 &nbsp;Centre CEA de Cadarache &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;13108 Saint-Paul-les-Durance cedex

775685019 00322&nbsp; Centre CEA du CESTA &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;BP 2 - 33114 Le Barp

775685019 00082&nbsp; Centre CEA DIF &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;Bruy&egrave;res_le-Ch&acirc;tel - 91297 Arpajon cedex

775685019 00066&nbsp; Centre CEA de FAR &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;BP 6 - 92268 Fontenay-aux-Roses cedex

775685019 00603&nbsp; Centre CEA de Gramat &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; BP&nbsp;80200 - 46500 Gramat

775685019 00298&nbsp; Centre CEA de Grenoble &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; 17, rue des Martyrs - 38054 Grenoble cedex 9

775685019 00330&nbsp; Centre CEA de Marcoule &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; BP&nbsp;171 - 30207 Bagnols-sur-C&egrave;ze cedex

775685019 00314&nbsp; Centre CEA du&nbsp;Ripault &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;BP 16 - 37260 Monts

775685019 00488&nbsp; Centre CEA de Saclay &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;91191 Gif-sur-Yvette cedex

775685019 00371&nbsp; Centre CEA de Valduc &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;21120 Is-sur-Tille

Il est &agrave; noter que depuis le 1er janvier 2017, les centres de FAR et Saclay ont &eacute;t&eacute; r&eacute;unis en une seule entit&eacute; d&eacute;nomm&eacute;e : Centre CEA de Paris-Saclay.
"
775629132,93c464b9-b1cd-11ed-8fce-005056b7acd1,UNAPEI 60,22/12/2022,2021,
775629132,93a3dac5-b1cd-11ed-8fce-005056b7acd1,UNAPEI 60,18/11/2020,2017,
775629132,9379b117-b1cd-11ed-8fce-005056b7acd1,UNAPEI 60,11/08/2016,2012,
775629132,6a0ebf91-78f4-4a1e-8299-915049d342c4,UNAPEI 60,21/06/2023,2022,SIRET77562913200439
737050187,939f45ad-b1cd-11ed-8fce-005056b7acd1,LONGCHAMP,03/02/2020,2018,
737050187,9370f942-b1cd-11ed-8fce-005056b7acd1,LONGCHAMP,09/09/2015,2012,
737050187,9370f775-b1cd-11ed-8fce-005056b7acd1,LONGCHAMP,09/09/2015,2013,
737050187,9370f652-b1cd-11ed-8fce-005056b7acd1,LONGCHAMP,09/09/2015,2014,
668502966,93c60f2e-b1cd-11ed-8fce-005056b7acd1,WURTH FRANCE,26/12/2022,2021,"
	
		
			
			SIRET
			
			
			&Eacute;tablissements
			
			
			Adresses
			
		
	
	
		
			
			668 502 966 00199
			
			
			W&uuml;rth France Mont&eacute;limar
			
			
			Boulevard Charles Andr&eacute; - 26200 Mont&eacute;limar
			
		
		
			
			668 502 966 00041
			
			
			W&uuml;rth France Si&egrave;ge social
			
			
			Rue Georges Besse - 67150 Erstein
			
		
		
			
			668 502 966 02260
			
			
			W&uuml;rth France Formation
			
			
			20 rue Ettore Bugatti - 67150 Erstein
			
		
		
			
			&nbsp;
			
			
			200 magasins et agences
			
			
			&nbsp;
			
		
	


&nbsp;
"
668502966,939f3de0-b1cd-11ed-8fce-005056b7acd1,WURTH FRANCE,13/01/2020,2018,
668502966,938b5af9-b1cd-11ed-8fce-005056b7acd1,WURTH FRANCE,25/04/2018,2014,
668502966,937cd4a8-b1cd-11ed-8fce-005056b7acd1,WURTH FRANCE,25/04/2018,2011,
582022265,93c0490a-b1cd-11ed-8fce-005056b7acd1,GUERLAIN,27/07/2022,2020,
582022265,93b89176-b1cd-11ed-8fce-005056b7acd1,GUERLAIN,18/10/2021,2019,
582022265,5c134b9b-7d2d-4007-8bba-e00a1b3fc7b2,GUERLAIN,18/09/2023,2021,
582022265,54c08e96-a902-4921-b91e-63215371f244,GUERLAIN,18/09/2023,2022,
548500149,93c58bc2-b1cd-11ed-8fce-005056b7acd1,SOCOMEC,10/01/2023,2021,
548500149,93b49447-b1cd-11ed-8fce-005056b7acd1,SOCOMEC,04/07/2022,2019,
548500149,9387d545-b1cd-11ed-8fce-005056b7acd1,SOCOMEC,06/03/2020,2016,
548500149,9370ee54-b1cd-11ed-8fce-005056b7acd1,SOCOMEC,03/01/2017,2014,
542107651,cd14f357-f10d-4ac9-bc08-6e749b485868,ENGIE S. A.,15/05/2023,2022,
542107651,be50edbf-0a65-4f79-812a-311cdefa4d72,ENGIE S. A.,15/05/2023,2020,
542107651,93712edb-b1cd-11ed-8fce-005056b7acd1,ENGIE S. A.,23/12/2015,2014,
542107651,06e27bf0-fc5a-4c94-84c4-438d2168c37c,ENGIE S. A.,15/05/2023,2017,
535420533,93c3030d-b1cd-11ed-8fce-005056b7acd1,CONFRATERNELLE D,08/11/2022,2021,
535420533,93928049-b1cd-11ed-8fce-005056b7acd1,CONFRATERNELLE D,03/06/2019,2018,
535420533,938b4391-b1cd-11ed-8fce-005056b7acd1,CONFRATERNELLE D,29/03/2018,2017,"SIEGE SOCIAL : 535.420.533 00015

&nbsp;



	
		
			
			METZ
			
			
			535.420.533
			
			
			00346
			
		
		
			
			SCHILTIGHEIM
			
			
			535.420.533
			
			
			00049
			
		
		
			
			COLMAR
			
			
			535.420.533
			
			
			00197
			
		
		
			
			ILLZACH
			
			
			535.420.533
			
			
			00288
			
		
		
			
			BAVILLIERS
			
			
			535.420.533
			
			
			00270
			
		
		
			
			BESANCON
			
			
			535.420.533
			
			
			00189
			
		
		
			
			LONS LE SAUNIER
			
			
			535.420.533
			
			
			00056
			
		
		
			
			ST APOLLINAIRE
			
			
			535.420.533
			
			
			00171
			
		
		
			
			SENS
			
			
			535.420.533
			
			
			00387
			
		
		
			
			CHALON SUR SAONE
			
			
			535.420.533
			
			
			00130
			
		
		
			
			GENAS
			
			
			535.420.533
			
			
			00379
			
		
		
			
			CLERMONT-FERRAND
			
			
			535.420.533
			
			
			00395
			
		
		
			
			CRAN GEVRIER
			
			
			535.420.533
			
			
			00361
			
		
		
			
			ST EGREVE
			
			
			535.420.533
			
			
			00155
			
		
		
			
			VALENCE
			
			
			535.420.533
			
			
			00148
			
		
		
			
			MONTELIMAR
			
			
			535.420.533
			
			
			00213
			
		
		
			
			NIMES
			
			
			535.420.533
			
			
			00312
			
		
		
			
			MONTPELLIER
			
			
			535.420.533
			
			
			00304
			
		
		
			
			VILLENEUVE LES BEZIERS
			
			
			535.420.533
			
			
			00296
			
		
		
			
			LE PONTET
			
			
			535.420.533
			
			
			00338
			
		
		
			
			VENELLES
			
			
			535.420.533
			
			
			00221
			
		
		
			
			AUBAGNE
			
			
			535.420.533
			
			
			00353
			
		
		
			
			MANDELIEU LA NAPOULE
			
			
			535.420.533
			
			
			00247
			
		
	


&nbsp;

"
535420533,937cea76-b1cd-11ed-8fce-005056b7acd1,CONFRATERNELLE D,23/09/2016,2013,
525721189,93a66f19-b1cd-11ed-8fce-005056b7acd1,SAVERGLASS,24/09/2020,2019,
525721189,93979c8f-b1cd-11ed-8fce-005056b7acd1,SAVERGLASS,25/11/2019,2018,
525721189,9385ae41-b1cd-11ed-8fce-005056b7acd1,SAVERGLASS,19/06/2017,2016,
525721189,937456b3-b1cd-11ed-8fce-005056b7acd1,SAVERGLASS,02/08/2016,2015,
491371167,93bf575d-b1cd-11ed-8fce-005056b7acd1,LFB BIOMEDICAMENTS,28/06/2022,2019,
491371167,93947846-b1cd-11ed-8fce-005056b7acd1,LFB BIOMEDICAMENTS,28/06/2022,2018,"49137116700017
"
491371167,938b411a-b1cd-11ed-8fce-005056b7acd1,LFB BIOMEDICAMENTS,12/06/2019,2017,"49137116700017
"
491371167,937142f8-b1cd-11ed-8fce-005056b7acd1,LFB BIOMEDICAMENTS,28/12/2015,2014,"49137116700017
"
488601337,93c21798-b1cd-11ed-8fce-005056b7acd1,TALAN,07/10/2022,2021,
488601337,93bbe437-b1cd-11ed-8fce-005056b7acd1,TALAN,14/01/2022,2020,
488601337,93a710ba-b1cd-11ed-8fce-005056b7acd1,TALAN,27/11/2020,2019,
488601337,8fbd1939-b69b-4dda-ae38-7e9d335749ca,TALAN,01/09/2023,2022,
488385907,93be1322-b1cd-11ed-8fce-005056b7acd1,VALDEPHARM,05/05/2022,2021,
488385907,93b87cd9-b1cd-11ed-8fce-005056b7acd1,VALDEPHARM,14/10/2021,2019,
488385907,93b81e7e-b1cd-11ed-8fce-005056b7acd1,VALDEPHARM,14/10/2021,2020,
488385907,938fa7d6-b1cd-11ed-8fce-005056b7acd1,VALDEPHARM,03/01/2020,2018,
